,City Name,Latitude,Longitude,Temperature (Farenheit),Humidity %,Cloudiness %,Wind Speed (MPH),Country,Date
288,Tilichiki,60.47,166.1,4.75,92,7,10.6,RU,1604960609
289,Asău,46.43,26.4,39.99,97,83,2.33,RO,1604960079
290,Grand Falls,47.05,-67.74,65.28,55,1,4.7,CA,1604959974
291,San Jose,37.34,-121.89,58.42,18,40,8.05,US,1604960463
292,Gorin,51.2,136.67,10.08,87,0,2.01,RU,1604960032
293,Puerto Baquerizo Moreno,-0.9,-89.6,77.0,61,20,10.29,EC,1604960610
294,Prince Rupert,54.32,-130.32,41.43,93,90,9.17,CA,1604960160
295,Antsohihy,-14.88,47.99,78.24,63,85,7.49,MG,1604960610
296,Antón Lizardo,19.05,-95.98,84.09,66,5,3.36,MX,1604960610
297,Petropavlovsk-Kamchatskiy,53.05,158.65,24.8,62,100,11.18,RU,1604960611
298,Portland,45.52,-122.68,41.45,59,90,4.7,US,1604960242
299,Peleduy,59.63,112.74,29.32,97,100,6.38,RU,1604960611
300,Waimalu,21.4,-157.94,79.5,74,75,10.29,US,1604960611
301,Arman',59.7,150.17,5.13,85,72,9.91,RU,1604960611
302,Fort Nelson,58.81,-122.7,23.0,85,75,4.7,CA,1604960046
303,Umluj,25.02,37.27,77.81,55,0,8.72,SA,1604960076
304,Ilulissat,69.22,-51.1,5.88,92,100,4.09,GL,1604960052
305,Assiut,27.18,31.18,64.4,52,0,6.4,EG,1604960528
306,Kudahuvadhoo,2.67,72.89,83.01,76,31,10.13,MV,1604960612
307,Sabang,5.89,95.32,80.67,77,67,5.14,ID,1604960055
308,Guiyang,26.58,106.72,39.2,93,0,3.33,CN,1604960110
309,Salinópolis,-0.61,-47.36,81.16,79,51,10.76,BR,1604960612
310,Nyurba,63.28,118.33,17.15,97,100,4.0,RU,1604960104
311,Guilin,25.28,110.29,48.2,87,0,4.47,CN,1604960613
312,Joshīmath,30.57,79.57,47.91,45,8,3.67,IN,1604960613
313,Khorixas,-20.37,14.97,67.53,38,26,8.12,NA,1604960613
314,Zhezkazgan,47.8,67.71,41.31,87,100,23.31,KZ,1604960031
315,Segezha,63.74,34.32,33.87,91,69,13.49,RU,1604960613
316,Abū Zabad,12.35,29.25,74.1,22,0,9.98,SD,1604960613
317,Lira,2.23,32.91,65.08,88,100,2.3,UG,1604960613
318,Arrondissement de Dinan,48.42,-2.25,53.19,100,90,8.05,FR,1604960614
319,São Filipe,14.9,-24.5,80.85,73,99,7.87,CV,1604960085
320,Sulangan,11.14,123.72,82.29,78,95,11.99,PH,1604960614
321,Pauini,-7.71,-66.98,85.15,66,88,2.66,BR,1604960393
322,Vostok,46.49,135.88,1.62,95,57,3.96,RU,1604960614
323,Kenai,60.55,-151.26,31.96,92,1,9.17,US,1604960081
324,Kurumkan,54.3,110.3,27.41,92,14,0.69,RU,1604960615
325,Puerto Colombia,10.99,-74.95,86.0,70,75,10.29,CO,1604960615
326,Jalu,29.03,21.55,61.41,69,0,8.66,LY,1604960615
327,Dalbandin,28.89,64.41,55.35,37,0,7.0,PK,1604960099
328,Kropotkin,45.44,40.58,49.86,80,64,1.48,RU,1604960615
329,Matara,5.95,80.54,77.22,85,32,2.84,LK,1604960615
330,Hervey Bay,-25.3,152.85,75.0,57,4,5.01,AU,1604960533
331,Quibor,9.93,-69.62,76.75,77,82,2.01,VE,1604960616
332,Sukhobezvodnoye,57.05,44.89,31.66,97,100,8.72,RU,1604960616
333,Westport,41.14,-73.36,63.52,52,1,3.36,US,1604960025
334,Torbay,47.67,-52.73,38.88,90,94,1.99,CA,1604960037
335,Guane,22.2,-84.09,79.48,84,100,10.92,CU,1604960617
336,Saldanha,-33.01,17.94,53.6,71,0,11.41,ZA,1604960125
337,Sivaki,52.63,126.75,0.68,91,58,1.41,RU,1604960617
338,Kathmandu,27.72,85.32,50.0,93,20,3.36,NP,1604960617
339,Bereket,39.24,55.52,51.44,53,7,8.01,TM,1604960617
340,Yumen,40.28,97.2,29.44,80,1,4.05,CN,1604960089
341,Benjamin Constant,-4.38,-70.03,84.09,78,0,2.24,BR,1604960617
342,Staryy Nadym,65.61,72.68,12.61,96,100,8.28,RU,1604960618
343,Betioky,-23.72,44.38,73.15,94,80,3.51,MG,1604960618
344,Hualmay,-11.1,-77.61,66.7,71,83,10.09,PE,1604960147
345,Keetmanshoop,-26.58,18.13,62.6,20,0,3.36,NA,1604960618
346,Muisne,0.6,-80.03,75.38,80,63,9.64,EC,1604960022
347,Bud,39.45,-86.18,73.45,60,90,4.7,US,1604960619
348,São Félix do Xingu,-6.64,-51.99,80.46,72,48,4.0,BR,1604960619
349,Gorontalo,0.54,123.06,73.74,81,92,1.95,ID,1604960092
350,Araouane,18.9,-3.53,82.15,16,1,8.52,ML,1604960619
351,Codrington,-38.27,141.97,69.4,65,0,14.18,AU,1604960022
352,Kawalu,-7.38,108.21,71.29,92,93,0.45,ID,1604960065
353,Xining,36.62,101.77,34.25,61,0,1.74,CN,1604960114
354,Shumyachi,53.86,32.42,32.92,93,0,7.43,RU,1604960619
355,Mandalgovi,45.76,106.27,30.04,77,0,8.84,MN,1604960150
356,Biak,-0.91,122.88,77.05,71,99,2.62,ID,1604960131
357,Sibolga,1.74,98.78,76.82,80,93,3.67,ID,1604960052
358,Hukuntsi,-24.0,21.75,77.11,32,89,19.6,BW,1604960620
359,Tezu,27.92,96.17,65.95,43,0,3.69,IN,1604960054
360,Billings Metropolitan Area,45.78,-108.5,26.6,58,40,14.99,US,1604960547
361,Egvekinot,66.32,-179.17,23.07,98,100,23.47,RU,1604960065
362,Luangwa,-15.62,30.42,85.26,26,18,3.56,ZM,1604960620
363,Ilhabela,-23.78,-45.36,72.07,89,100,11.1,BR,1604960621
364,Torbat-e Jām,35.24,60.62,39.02,82,0,3.27,IR,1604960621
365,Noyabrsk,63.2,75.45,19.78,98,96,4.34,RU,1604960621
366,São João da Barra,-21.64,-41.05,80.6,74,0,11.41,BR,1604960060
367,Sokolo,14.73,-6.12,79.74,16,0,7.96,ML,1604960621
368,Klaksvík,62.23,-6.59,50.0,100,80,16.11,FO,1604960045
369,Penzance,50.12,-5.54,53.6,100,36,13.87,GB,1604960621
370,Ust'-Tarka,55.57,75.7,31.78,95,43,11.74,RU,1604960622
371,Beringovskiy,63.05,179.32,36.12,93,85,16.35,RU,1604960622
372,Sharanga,57.18,46.54,29.79,97,99,9.15,RU,1604960623
373,Katsuura,35.13,140.3,53.02,50,20,5.82,JP,1604960053
374,Clyde River,70.47,-68.59,3.2,71,75,14.99,CA,1604960031
375,Severo-Kuril'sk,50.68,156.12,36.93,81,100,19.01,RU,1604960074
376,Oranjemund,-28.55,16.43,58.46,65,0,26.6,NA,1604960623
377,Salym,60.06,71.48,26.17,98,99,7.47,RU,1604960623
378,Alugan,12.22,125.48,79.57,86,100,5.77,PH,1604960624
379,Luanda,-8.84,13.23,77.0,83,75,3.36,AO,1604960624
380,Naze,28.37,129.48,68.86,64,75,11.41,JP,1604960160
381,Bambanglipuro,-7.95,110.28,77.52,86,98,5.39,ID,1604960090
382,Phan Thiet,10.93,108.1,74.17,84,100,14.54,VN,1604960624
383,Belmonte,-15.86,-38.88,77.0,78,20,10.29,BR,1604960039
384,Dukat,62.55,155.55,-16.08,88,98,4.25,RU,1604960061
385,Kyabé,9.45,18.94,84.6,41,95,2.77,TD,1604960625
386,Arbuzynka,47.91,31.32,46.51,67,100,6.64,UA,1604960625
387,Falmouth,50.15,-5.07,53.6,100,83,13.87,GB,1604960625
388,Orlik,52.52,99.83,24.33,83,100,0.6,RU,1604960082
389,Ejura,7.39,-1.36,78.78,70,96,7.36,GH,1604960625
390,Jiaojiang,28.68,121.44,48.97,89,8,5.53,CN,1604960626
391,Chitungwiza,-18.01,31.08,75.0,39,34,5.99,ZW,1604960626
392,Bend,44.06,-121.32,37.85,35,1,4.07,US,1604960339
393,Chhabra,24.67,76.83,63.54,30,0,6.29,IN,1604960627
394,North Platte,41.12,-100.77,33.8,64,90,12.75,US,1604960627
395,Deputatsky,69.3,139.9,-17.41,89,29,1.32,RU,1604960127
396,Kalmunai,7.42,81.82,79.09,83,94,7.43,LK,1604960627
397,San Vicente,-26.62,-54.13,65.34,99,96,1.39,AR,1604960627
398,Bikaner,28.02,73.3,69.42,22,0,9.51,IN,1604960412
399,Gaza,31.5,34.47,67.37,82,0,1.12,PS,1604960368
400,Pontianak,-0.03,109.33,74.55,95,96,2.57,ID,1604960627
401,Castro,-24.79,-50.01,64.53,93,44,8.72,BR,1604960052
402,Bayjī,34.93,43.49,69.98,55,96,13.24,IQ,1604960628
403,Neryungri,56.67,124.65,3.2,92,99,2.59,RU,1604960629
404,Waingapu,-9.66,120.26,80.31,71,99,2.91,ID,1604960629
405,Pringsewu,-5.36,104.97,73.04,91,100,2.44,ID,1604960629
406,Yei,4.09,30.68,67.06,93,81,2.01,SS,1604960629
407,Riyadh,24.69,46.72,75.2,44,0,6.93,SA,1604960480
408,Passo de Camaragibe,-9.24,-35.49,75.2,94,75,5.82,BR,1604960629
409,Temirtau,50.05,72.95,32.0,96,90,29.08,KZ,1604960419
410,Makkah al Mukarramah,21.43,39.83,79.14,71,0,4.99,SA,1604960168
411,Nouakchott,18.09,-15.98,78.8,65,0,6.93,MR,1604960384
412,Grindavik,63.84,-22.43,41.0,93,90,24.16,IS,1604960054
413,Kumluca,36.37,30.29,67.95,49,9,5.73,TR,1604960630
414,Moree,-29.47,149.85,66.2,55,75,16.11,AU,1604960630
415,Beberibe,-4.18,-38.13,80.6,78,40,12.75,BR,1604960631
416,Airai,-8.93,125.41,64.58,76,100,2.59,TL,1604960631
417,Vila Velha,-20.33,-40.29,77.85,78,20,17.22,BR,1604960095
418,Rodolfo Sánchez Taboada,31.72,-116.57,63.0,58,8,4.0,MX,1604960631
419,Liverpool,53.41,-2.98,54.34,100,75,10.29,GB,1604960370
420,Lázaro Cárdenas,17.96,-102.2,82.15,73,10,7.2,MX,1604960632
421,Chapais,49.78,-74.85,57.2,82,75,11.41,CA,1604960043
422,Glencoe,-28.18,30.15,57.97,92,100,7.09,ZA,1604960632
423,Yerbogachën,61.28,108.01,31.62,97,100,8.7,RU,1604960633
424,Parabel',58.7,81.48,31.93,96,89,12.66,RU,1604960633
425,Empangeni,-28.76,31.89,66.36,85,100,7.61,ZA,1604960633
426,Kyabram,-36.32,145.05,75.0,40,19,1.99,AU,1604960409
427,Humaitá,-7.51,-63.02,81.18,76,86,1.3,BR,1604960634
428,Lüderitz,-26.65,15.16,59.07,55,0,28.7,NA,1604960059
429,Buta,2.79,24.73,70.41,88,89,1.95,CD,1604960634
430,Aykhal,66.0,111.5,21.2,92,75,6.71,RU,1604960634
431,Bagalkot,16.18,75.7,63.48,53,0,7.96,IN,1604960634
432,Teguise,29.06,-13.56,69.8,77,20,10.29,ES,1604960634
433,Dhārchula,29.85,80.53,52.14,44,0,4.16,IN,1604960635
434,Betanzos,43.28,-8.21,51.3,100,40,5.82,ES,1604960635
435,Southbridge,42.08,-72.03,59.94,63,0,2.98,US,1604960603
436,Kaputa,-8.47,29.66,76.12,62,100,2.01,ZM,1604960635
437,Tarakan,3.3,117.63,80.51,77,98,10.6,ID,1604960635
438,Miraflores,19.22,-98.81,75.22,27,40,4.7,MX,1604960636
439,Ayagoz,47.97,80.44,34.79,84,99,21.47,KZ,1604960637
440,Temerloh,3.45,102.42,72.48,96,71,0.4,MY,1604960491
441,Santiago,-33.46,-70.65,78.55,36,0,8.05,CL,1604960631
442,Lakki,32.61,70.91,61.57,30,87,0.94,PK,1604960637
443,Gallup,35.53,-108.74,31.33,86,90,11.41,US,1604960637
444,Los Llanos de Aridane,28.66,-17.92,65.73,77,75,5.82,ES,1604960133
445,Eureka,40.8,-124.16,52.72,60,64,1.99,US,1604960472
446,Oodweyne,9.41,45.06,73.31,37,0,11.86,SO,1604960638
447,Rome,43.21,-75.46,61.56,40,1,4.7,US,1604960371
448,Neiafu,-18.65,-173.98,80.6,74,40,9.17,TO,1604960639
449,Vardø,70.37,31.11,37.4,74,40,25.28,NO,1604960106
450,Hinton,53.4,-117.59,28.4,50,100,4.7,CA,1604960639
451,Flinders,-34.58,150.86,65.7,74,0,4.0,AU,1604960057
452,Harper,4.38,-7.72,78.3,86,98,6.73,LR,1604960114
453,Caceres,39.52,-6.37,52.0,95,0,1.43,ES,1604960639
454,Atar,20.52,-13.05,86.13,13,0,7.87,MR,1604960121
455,Karratha,-20.74,116.85,66.29,69,0,10.67,AU,1604960051
456,Morón,-34.65,-58.62,68.32,66,84,4.0,AR,1604960067
457,Cap Malheureux,-19.98,57.61,71.6,78,40,9.17,MU,1604960640
458,Paragominas,-2.97,-47.48,76.53,91,100,2.8,BR,1604960087
459,Narwāna,29.62,76.12,61.66,30,11,2.46,IN,1604960641
460,Meulaboh,4.14,96.13,76.46,88,93,4.54,ID,1604960641
461,Ghanzi,-21.57,21.78,79.07,39,39,14.09,BW,1604960642
462,Comodoro Rivadavia,-45.87,-67.5,66.2,48,0,13.87,AR,1604960642
463,Cam Ranh,11.92,109.16,75.2,100,90,4.7,VN,1604960643
464,Takāb,36.4,47.11,50.97,58,100,1.86,IR,1604960062
465,Lucea,18.45,-78.17,84.96,66,20,9.17,JM,1604960643
466,Zhangye,38.93,100.45,36.59,56,0,1.07,CN,1604960643
467,Kieta,-6.22,155.63,83.32,71,95,3.6,PG,1604960644
468,Ciudad de Allende,25.28,-100.02,78.67,54,5,8.05,MX,1604960405
469,Lagos,6.58,3.75,77.65,91,95,5.08,NG,1604960644
470,Mayumba,-3.43,10.66,75.7,85,100,1.43,GA,1604960172
471,Olinda,-8.01,-34.86,80.6,78,75,11.41,BR,1604960644
472,Okha,53.57,142.95,29.03,94,100,10.11,RU,1604960644
473,Ulladulla,-35.35,150.47,62.4,72,0,6.93,AU,1604960062
474,Paamiut,61.99,-49.67,22.35,87,70,27.11,GL,1604960069
475,Vestmanna,62.16,-7.17,50.0,100,87,14.99,FO,1604960645
476,Husavik,66.04,-17.34,32.0,83,20,12.39,IS,1604960645
477,Sinjār,36.32,41.88,63.52,63,100,7.49,IQ,1604960645
478,Lakatoro,-16.1,167.42,77.0,94,75,9.35,VU,1604960645
479,Beaufort,5.35,115.75,75.2,83,40,3.36,MY,1604960646
480,Tornio,65.85,24.15,30.2,68,0,4.7,FI,1604960646
481,Zemio,5.03,25.14,70.68,91,57,1.14,CF,1604960646
482,Nekhayevskiy,50.41,41.76,34.88,81,5,7.38,RU,1604960646
483,Port-Gentil,-0.72,8.78,78.8,88,40,8.05,GA,1604960646
484,Hatillo,18.49,-66.83,79.03,88,40,17.6,PR,1604960647
485,Sīwah,29.2,25.52,63.36,55,0,8.61,EG,1604960647
486,Kolokani,13.57,-8.03,77.54,18,0,6.87,ML,1604960648
487,Chul'man,56.85,124.91,-0.06,91,100,1.97,RU,1604960648
488,Road Town,18.42,-64.62,79.36,83,40,12.75,VG,1604960394
489,Departamento de Maldonado,-34.67,-54.92,65.57,72,75,17.22,UY,1604960505
490,Komsomolets,53.75,62.07,31.86,90,0,13.0,KZ,1604960649
491,Constitución,-35.33,-72.42,61.83,66,6,16.06,CL,1604960649
492,Beaumont,30.09,-94.1,75.52,83,90,9.17,US,1604960628
493,Atalanti,38.65,23.0,58.71,68,3,4.0,GR,1604960649
494,Ulaangom,49.98,92.07,24.26,92,45,1.25,MN,1604960650
495,Tairua,-37.02,175.85,58.84,81,100,5.99,NZ,1604960650
496,Hadsund,56.71,10.12,46.69,89,59,3.0,DK,1604960650
497,Charter Township of Clinton,42.59,-82.92,69.98,75,0,7.36,US,1604960650
498,Duartina,-22.41,-49.4,75.2,83,20,16.11,BR,1604960651
499,Northam,51.03,-4.22,53.33,96,100,8.01,GB,1604960055
500,Tuy Hoa,13.08,109.3,75.13,91,100,23.87,VN,1604960553
501,Fairbanks,64.84,-147.72,23.92,79,75,5.82,US,1604960419
502,Wairoa,-39.03,177.37,61.0,71,53,4.0,NZ,1604960651
503,Mandera,3.94,41.87,83.39,53,1,7.65,KE,1604960652
504,Prymors'k,46.73,36.34,46.13,76,0,8.95,UA,1604960652
505,Juneau,58.3,-134.42,33.94,93,90,4.7,US,1604960652
506,Vila Franca do Campo,37.72,-25.43,66.2,77,20,13.87,PT,1604960101
507,Hamilton,39.18,-84.53,73.96,47,1,5.82,US,1604960523
508,Zyryanka,65.75,150.85,-9.18,91,100,5.59,RU,1604960652
509,Menongue,-14.66,17.69,72.77,46,58,5.53,AO,1604960652
510,Gizo Government Station,-8.1,156.84,83.62,71,100,5.88,SB,1604960487
511,Aitape,-3.14,142.35,81.82,74,57,4.09,PG,1604960653
512,Alyangula,-13.85,136.42,75.2,94,14,13.71,AU,1604960653
513,Porto Belo,-27.16,-48.55,70.18,88,75,9.17,BR,1604960654
514,Opuwo,-18.06,13.84,70.97,37,4,5.1,NA,1604960064
515,Tarasovskiy,48.73,40.36,43.63,80,39,3.06,RU,1604960654
516,Mackay,-21.15,149.2,74.71,73,75,13.87,AU,1604960654
517,Awjilah,29.11,21.29,60.8,70,0,8.05,LY,1604960654
518,Yulara,-25.24,130.99,78.8,31,94,3.36,AU,1604960476
519,Lazarev,52.23,141.51,18.14,91,100,24.45,RU,1604960655
520,Rincon,32.3,-81.24,75.56,73,75,13.87,US,1604960655
521,Nyagan,62.14,65.39,27.16,97,96,5.68,RU,1604960655
522,Ternate,0.8,127.4,80.47,77,79,3.06,ID,1604960655
523,Maniitsoq,65.42,-52.9,19.85,83,92,11.63,GL,1604960655
524,Vagay,57.94,69.02,28.11,98,91,7.83,RU,1604960655
525,Whithorn,18.26,-78.04,84.97,66,20,9.17,JM,1604960656
526,Raja,8.46,25.68,74.84,37,0,2.37,SS,1604960656
527,Lavrentiya,65.58,-171.0,32.34,97,100,37.47,RU,1604960072
528,Zarubino,42.63,131.09,26.58,86,0,11.3,RU,1604960656
529,Port Moresby,-9.44,147.18,78.8,83,75,3.36,PG,1604960075
530,Laas,46.62,10.7,40.68,80,5,4.7,IT,1604960131
531,Saint-François,46.42,3.91,45.25,100,90,3.36,FR,1604960107
532,Porto Santo,33.07,-16.34,64.4,72,40,4.7,PT,1604960656
533,Kuusamo,65.97,29.18,26.6,92,0,9.17,FI,1604960657
534,Nemuro,43.32,145.57,35.91,84,74,12.28,JP,1604960658
535,Puerto Ayacucho,5.66,-67.62,80.37,82,98,3.49,VE,1604960658
536,Uvalde,29.37,-99.77,80.89,57,75,11.41,US,1604960658
537,Lata,40.16,-8.33,56.39,91,0,1.34,PT,1604960658
538,Reconquista,-29.15,-59.65,74.73,74,34,7.72,AR,1604960487
539,Avera,33.19,-82.53,76.91,61,75,10.29,US,1604960074
540,Byron Bay,-28.65,153.62,64.98,82,90,6.93,AU,1604960450
541,Genç,38.75,40.56,50.5,61,61,2.8,TR,1604960659
542,Pangnirtung,66.15,-65.71,14.0,78,75,3.36,CA,1604960102
543,Tulagi,-9.1,160.15,80.6,88,75,4.7,SB,1604960659
544,La Maddalena,41.21,9.41,56.32,93,0,6.93,IT,1604960660
545,Rio Grande,-32.03,-52.1,65.75,82,94,16.75,BR,1604960006
546,Sørland,67.67,12.69,37.4,64,75,8.05,NO,1604960660
547,Marsh Harbour,26.54,-77.06,79.86,81,70,23.51,BS,1604960160
548,La Esperanza,14.87,-91.57,67.5,64,20,4.7,GT,1604960660
549,Anshun,26.25,105.93,46.09,59,0,4.09,CN,1604960661
550,Hokitika,-42.72,170.97,59.61,56,0,3.91,NZ,1604960661
551,Port Hawkesbury,45.62,-61.35,48.47,93,1,4.7,CA,1604960661
552,Rocha,-34.48,-54.33,61.74,78,100,7.94,UY,1604960076
553,Gazli,40.13,63.45,35.28,84,0,0.58,UZ,1604960661
554,Tombouctou,20.0,-3.0,81.52,17,0,8.23,ML,1604960662
555,Auki,-8.77,160.7,84.02,74,21,4.68,SB,1604960657
556,Marfino,55.7,37.38,35.85,93,75,11.18,RU,1604960662
557,Dingle,11.0,122.67,75.24,85,57,1.95,PH,1604960070
558,Bara,10.37,10.73,75.76,31,30,6.67,NG,1604960662
559,Richards Bay,-28.78,32.04,68.58,81,100,10.74,ZA,1604959911
560,Frome,51.23,-2.32,53.33,96,89,1.01,GB,1604960663
561,Weligama,5.97,80.42,77.63,83,36,2.28,LK,1604960663
562,Panguna,-6.32,155.48,77.23,81,92,1.83,PG,1604960663
563,Redlands,34.06,-117.18,60.35,29,20,5.82,US,1604960623
564,Nome,64.5,-165.41,32.4,86,90,31.09,US,1604960664
565,Sept-Îles,50.2,-66.38,34.29,100,90,3.67,CA,1604959862
566,Longkou,37.65,120.33,48.85,50,0,6.11,CN,1604960664
567,Blatná,49.42,13.88,36.37,99,0,1.01,CZ,1604960664
568,Pundaguitan,6.37,126.17,82.4,76,100,3.98,PH,1604960665
569,Salamanca,40.83,-6.0,46.65,100,0,3.06,ES,1604960665
570,Kitgum,3.28,32.89,67.35,84,23,1.5,UG,1604960665
571,Poiana Stampei,47.32,25.13,37.0,88,74,2.75,RO,1604960666
572,Huéscar,37.81,-2.54,48.99,97,23,1.36,ES,1604960666
573,Kristinehamn,59.31,14.11,38.12,100,90,1.12,SE,1604960666
574,Northport,33.23,-87.58,75.7,65,90,5.82,US,1604960666
575,Nefteyugansk,61.1,72.6,28.4,100,75,8.95,RU,1604960666
576,Sarab,38.61,44.99,49.24,50,88,1.34,IR,1604960667
577,Haines Junction,60.75,-137.51,30.2,50,100,16.11,CA,1604960085
